date,AQI
2024-02-28,53.666666666666664
2024-02-29,47.666666666666664
2024-03-01,31.666666666666668
2024-03-02,16.333333333333332
2024-03-03,20.0
2024-03-04,28.0
2024-03-05,38.666666666666664
2024-03-06,31.0
2024-03-07,35.0
2024-03-08,45.666666666666664
2024-03-09,48.0
2024-03-10,47.666666666666664
2024-03-11,42.333333333333336
2024-03-12,43.333333333333336
2024-03-13,39.0
2024-03-14,22.666666666666668
2024-03-15,21.0
2024-03-16,32.0
2024-03-17,43.333333333333336
2024-03-18,47.666666666666664
2024-03-19,50.0
2024-03-20,53.666666666666664
2024-03-21,58.333333333333336
2024-03-22,54.333333333333336
2024-03-23,35.333333333333336
2024-03-24,25.0
2024-03-25,35.0
2024-03-26,39.666666666666664
2024-03-27,46.666666666666664
2024-03-28,49.0
2024-03-29,32.333333333333336
2024-03-30,20.0
2024-03-31,20.333333333333332
2024-04-01,31.333333333333332
2024-04-02,41.333333333333336
2024-04-03,48.666666666666664
2024-04-04,38.333333333333336
2024-04-05,29.0
2024-04-06,35.666666666666664
2024-04-07,39.333333333333336
2024-04-08,39.0
2024-04-09,39.0
2024-04-10,53.333333333333336
2024-04-11,61.333333333333336
2024-04-12,60.0
2024-04-13,32.333333333333336
2024-04-14,32.666666666666664
2024-04-15,47.0
2024-04-16,46.333333333333336
2024-04-17,52.0
2024-04-18,52.666666666666664
2024-04-19,52.0
2024-04-20,53.333333333333336
2024-04-21,61.0
2024-04-22,63.333333333333336
2024-04-23,36.0
2024-04-24,43.0
2024-04-25,31.333333333333332
2024-04-26,36.0
2024-04-27,41.333333333333336
2024-04-28,45.333333333333336
2024-04-29,50.0
2024-04-30,49.0
2024-05-01,50.333333333333336
2024-05-02,53.0
2024-05-03,52.666666666666664
2024-05-04,44.333333333333336
2024-05-05,23.666666666666668
2024-05-06,41.666666666666664
2024-05-07,47.0
2024-05-08,48.333333333333336
2024-05-09,49.333333333333336
2024-05-10,57.0
2024-05-11,51.0
2024-05-12,50.0
2024-05-13,55.333333333333336
2024-05-14,48.666666666666664
2024-05-15,45.0
2024-05-16,46.0
2024-05-17,48.666666666666664
2024-05-18,44.666666666666664
2024-05-19,35.333333333333336
2024-05-20,41.0
2024-05-21,47.333333333333336
2024-05-22,52.666666666666664
2024-05-23,49.333333333333336
2024-05-24,45.333333333333336
2024-05-25,35.333333333333336
2024-05-26,36.0
2024-05-27,44.666666666666664
2024-05-28,52.0
2024-05-29,53.666666666666664
2024-05-30,48.666666666666664
2024-05-31,55.666666666666664
2024-06-01,45.0
2024-06-02,37.0
2024-06-03,50.333333333333336
2024-06-04,52.333333333333336
2024-06-05,47.666666666666664
2024-06-06,52.666666666666664
2024-06-07,44.666666666666664
2024-06-08,38.333333333333336
2024-06-09,28.0
2024-06-10,46.666666666666664
2024-06-11,49.333333333333336
2024-06-12,48.333333333333336
2024-06-13,53.666666666666664
2024-06-14,50.666666666666664
2024-06-15,54.333333333333336
2024-06-16,51.666666666666664
2024-06-17,54.666666666666664
2024-06-18,52.666666666666664
2024-06-19,54.666666666666664
2024-06-20,55.0
2024-06-21,56.333333333333336
2024-06-22,57.333333333333336
2024-06-23,52.666666666666664
2024-06-24,47.333333333333336
2024-06-25,44.0
2024-06-26,46.666666666666664
2024-06-27,48.666666666666664
2024-06-28,49.666666666666664
2024-06-29,47.666666666666664
2024-06-30,48.333333333333336
2024-07-01,48.5
2024-07-02,47.5
2024-07-03,56.0
2024-07-04,55.0
2024-07-05,121.0
2024-07-06,46.0
2024-07-07,37.5
2024-07-08,49.5
2024-07-09,49.5
2024-07-10,64.0
2024-07-11,50.5
2024-07-12,50.5
2024-07-13,40.5
2024-07-14,37.0
2024-07-15,43.0
2024-07-16,41.5
2024-07-17,43.0
2024-07-18,46.5
2024-07-19,53.0
2024-07-20,55.5
2024-07-21,43.0
2024-07-22,53.0
2024-07-23,46.0
2024-07-24,52.5
2024-07-25,56.5
2024-07-26,52.5
2024-07-27,42.5
2024-07-28,39.5
2024-07-29,47.5
2024-07-30,48.5
2024-07-31,55.0
2024-08-01,66.5
2024-08-02,59.5
2024-08-03,47.0
2024-08-04,44.5
2024-08-05,55.5
2024-08-06,54.5
2024-08-07,48.0
2024-08-08,46.0
2024-08-09,47.5
2024-08-10,47.0
2024-08-11,45.5
2024-08-12,49.5
2024-08-13,48.5
2024-08-14,49.5
2024-08-15,53.0
2024-08-16,47.0
2024-08-17,37.5
2024-08-18,42.5
2024-08-19,54.0
2024-08-20,56.5
2024-08-21,63.5
2024-08-22,47.5
2024-08-23,41.0
2024-08-24,36.5
2024-08-25,41.0
2024-08-26,49.5
2024-08-27,50.5
2024-08-28,50.5
2024-08-29,49.0
2024-08-30,49.0
2024-08-31,48.0
